,review,rating
0,this case is just beautiful. i cannot think of anything i do not like about it. i used a smaller-sized gtx 750 which allows you to see everything inside. a bigger video card blocks your view (probably by design).,1.0
1,my husband purchased these because he likes movies and i am a reader.  i hear no residual sound and the headphones seem to be quite comfortable.  i highly recommend them!,1.0
2,"very disappointed.  this item worked a time or two, but never consistently. i replaced the battery and it still would not work.  i followed company instructions to make it work.  do not waste your money.",0.0
3,"...first of all, this lightning cable does exactly what it is supposed to do: it moves data (and electricity) to the apple device it is connected to (in my case, an ipod nano (7th generation).

with this cable, you get a little more.

first, you get more length. at 6 feet, it will give you flexibility for where to place your lighting device at a twice the distance of a standard lightning cable.

second, the usb terminal on this cable includes a permanently mounted velco cable management strap, answering the needs of neat freaks.

while you can buy cheaper lightning cables, the extra length and cable management capability offer a good value at this price.

select with confidence.

note: this item provided for review purposes.",1.0
4,"very bad, slow, flakey software. very slow. i was replacing a buffalo nas i've had for many years and this has been a complete step down. i have almost zero trust in this thing at all.",0.0
5,"when it worked it was fine (used for my media center pc in living room) but died under a year. range was good, kept it 15 to 20 ft from pc. there is no on/off switch on keyboard, so you never know if it is turned on or off (the mouse has a switch).

no lights or indicators to tell you if it is connected, low battery, or anything. so when mine stopped working i had  no way of knowing if was turned off, not connected or the batteries are dead.  pretty much just kept trying stuff to figure out why it is was not working- trial and error.  ultimately i realized none of those things were the problem, and instead it was just a piece of junk.

just not worth the aggravation. lack of an on/off switch on the keyboard alone rules this one out.",0.0
6,"what is not to like. insert in your phone, do a little set-up and you can keep decades of information on your phone.",1.0
7,"the remote basically gives you access to everything you need on your g-box.  however, its longevity leaves much to be desired.  they feel cheap.  the buttons are clunky and just do not feel responsive when you press them.  i have 2 g-box midnight boxes.  one of the remotes is very unresponsive.  the arrow keys and the power button are only responsive 75% of the time.  the other completely died in less than a year from very light use.  i purchased secondary remotes to do most of the actions once the box is turned on.  it is poorly manufactured.  i have a g-box q.  while it does not have all of the buttons that this one does, but it is ""way"" more responsive, feels better, and controls just enough of what i need it to when i do not want to fish for my secondary remote.  i purchased this remote exclusively for turning my boxes on and off.  hopefully, it lasts longer than a year.",0.0
8,"display looks muted/faded - contrast not crisp at all. speakers are overwhelmingly weak and tinny. browsing is sluggish, even when doing simple tasks such as email. i'm a big youtube watcher and will often have 4 or 5 tabs open with different videos loaded; this chromebook cannot even handle two tabs with videos. it freezes indefinitely, forcing me to close it... it will not restart if i try to press the power button. even when i'm just surfing news articles, the tab navigation is frustratingly sluggish - every time i go away from a tab and come back to that tab, the page looks blank (white) and takes 2-8 seconds to reload, as if it is refreshing the content. absolutely unacceptably annoying.  on top of all that, the video playback quality is poor and i have no idea why.  i hate this product and want to return it but the company (america's distributor) will not take it.  wish i never bought this.",0.0
9,"this monitor is a great buy, good color, great size - great for movies! the only negative is that the height is not adjustable but that is nothing that a stack of books cannot solve.",1.0
10,"we had an excellent customer service experience with kevin the other day.
the time he spent with us on the phone saved us from returning the skybell and allowed us to purchase a new part needed to successfully install our new skybell. it is functioning perfectly now, and we are very glad and relieved. we are satisfied with the product, after initially jumping through some hurdles to get it installed. thanks kevin!",1.0
